-384.62,-136.26,-178.77,-276.27,-89.34,-97.07,-168.64,-138.05,-148.03,170.28,-114.14,-108.83,-50.42,-200.37,-228.85,-115.7,-80.9,-81.67,-101.39,-112.25,-234.05,-122.88,-220.3,-286.51,-213.64,-113.98,-101.38,-223.26,-327.47,-67.43,-83.12,-152.8,-154.14,-120.17,-228.28,-185.62,-90.12,-139.46,-132,-207.1,-84.08,-476.89,-394.75,-241.76,-236.24,-129.23,-391.99,-202.63,-166.09,-33.54,-90.51,-150.64,-281.1,-123.34,-120.82,-91.7,-346.4,-56.96,-181.08,-284.69,-163.77,-20.74,-120.14,-86.55,-405.49,-157.46,-7.84,-194.82,-64.38,154.54,-70.06,-296.08,-110.96,-172.04,-218.34,8.33,-263.02,-92.95,-46.26,-119.94,-271.14,-134.53,-53.9,-14.14,-224.23,-286.4,-258.02,-94.8,-134.21,-254.39,-78.42,-224.57,-216.65,-39.9,-5.23,-164.24,-92.47,-169.55,-47.13,-29.56,-409.89,-292.84,-274.98,-329.55,-357.33,-378.12,24.17,-283.21,-256.85,-202.02,-21.28,-98.85,-72.61,-302.89,-90.41,-128.95,-110.49,-128.38,-329.93,-266.68,45.87,-128.52,-173.41,-223.43,-196.97,-131.28,-154.97,-230.05,-307.19,-168.28,-66.18,-152.02,-160.07,-105.19,-151.46,-33.61,-84.5,-162.34,-222.72,-333.07,-64.65,-116.82,-391.99,-148.15,-231,-140.19,-324.97,-220.2,-90.42,282.65,-225.25,-106.04,-218.59,-164.5,-141.21,-155.41,-183.12,-79.95,-247.35,-338.11,-233.18,-311.71,-137.16,-123.88,-196.2,-76.76,-191.86,-62.66,-123.61,-260.15,-120.56,-256.17,-174.33,-135.59,-278.65,-273.67,-407.48,-275.16,-100.4,199.32,-266.91,-127.84,-176.09,-231.81,-292.09,-331.24,-77.6,-352.15,-218.24,-209.01,-45.51,-60.55,-208.66,-47.07,-167.3,-238.54,-174.08,-134.95,29.63,-50.32,-63.08,-45.7,-209.43,-291.21,-129.03,-179.26,221.97,-313.51,-135.26,-60.41,-147.69,-243.09,-76.51,-196.21,-205.34,39.89,-60.2,-263.88,-167.76,-61.51,-282.83,-77.51,49.88,-194.81,14.72,-71.75,-50.7,-226.24,-332.24,48.08,-196.24,-252.43,-325.79,-298.26,37.73,227.3,-213.93,-118.81,-37.29,107.62,-227.97,-15.99,-243.39,-70.78,-42.38,-263.62,-56.44,-95.15,-1.93,243.34,-10.5,-178.31,-48.76,213.08,-22.54,-2.03,-24.05,258.68,-245.86,-170.06,-15.81,-30.77,303.69,-52.93,-6.6,-136.27,-193.49,-242.53,-191.78,-284.48,-22.33,-107.72,-169.24,17.22,-223.93,-218.57,-225.28,-184.28,-100.46,-18.02,69.43,-144.99,232.08,-162.64,-92.64,-251.56,-278.4,-43.58,29.49,-288.78,-19.25,-173.42,-197.11,-126.45,-6.17,-204.12,-238.85,-31.49,-379.92,-441.92,-54.26,-21.8,63.65,-39.99,7.96,-101.45,-254.71,-77.24,-216.44,-89.09,-275.57,-289.15,-145.92,-1.84,-181.99,-196.09,-115.65,-65.49,-73.66,-244.69,-63.52,-96.44,-95.64,-167.16,-67.23,-79.15,-69.84,-309.52,11.6,-57.72,-102.18,-73,-142.48,82.64,-244.98,-215.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,160,277,383,488,567,695,764,832,1332,1454,1556,1651,1768,1832,1917,2004,2079,2154,2259,2344,2449,2561,2650,2717,2801,2880,2987,3118,3185,3270,3365,3455,3556,3660,3765,3869,3950,4046,4151,4256,4349,4496,4599,4696,4799,4886,4956,5082,5168,5241,5357,5469,5570,5679,5784,5884,6016,6151,6253,6370,6493,6620,6715,6838,6949,7040,7137,7226,7726,7797,7927,8057,8179,8285,8466,8578,8766,8892,9029,9255,9396,9531,9666,9786,9914,10024,10173,10284,10412,10527,10653,10747,10866,11039,11190,11333,11427,11591,11762,11864,12010,12185,12277,12373,12517,12652,12877,13040,13233,13395,13538,13659,13831,13945,14075,14207,14316,14500,14616,15116,15238,15350,15451,15595,15700,15819,15957,16144,16248,16392,16580,16689,16812,16989,17132,17269,17377,17487,17603,17713,17816,17966,18049,18220,18311,18400,18556,18726,19070,19232,19340,19507,19605,19700,19774,19929,20071,20217,20372,20527,20677,20833,20930,21018,21100,21259,21428,21523,21677,21767,21862,22022,22076,22236,22414,22493,22702,22798,23232,23417,23656,23819,24036,24241,24454,24622,24820,25028,25121,25206,25302,25394,25472,25632,25790,25953,26109,26283,26440,26600,26695,26852,27047,27122,27194,27479,27647,27710,27868,28026,28183,28412,28590,28787,28900,29060,29258,29312,29468,29676,29840,29934,30107,30271,30422,30574,30723,30936,31088,31179,31339,31472,31675,31873,32198,32298,32414,32596,33096,33172,33332,33460,33577,33727,33837,33993,34093,34248,34497,34666,34755,34940,35218,35426,35617,35825,36217,36308,36364,36468,36559,36819,36996,37217,37445,37505,37597,37804,37877,38048,38109,38319,38513,38682,38775,39006,39222,39440,39606,40106,40307,40646,40809,41027,41240,41373,41606,41884,42099,42284,42673,43104,43165,43359,43486,43696,43803,44111,44357,44455,44576,44711,44879,44983,45082,45255,45354,45608,45660,45854,46122,46297,46486,46712,46838,47020,47084,47250,47418,47571,47731,47785,47988,48113,48197,48363,48516,48682,48754,48814,49057,49173,49673,49909,50054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.7,-125.05,-110.98,-225.19,-197.51,-270.03,-89.04,-265.46,-257.12,-81.17,-437.63,-35.23,-236.54,-133.94,-288.18,-163.26,-182.18,-329.59,-264.27,-81.36,-95.37,-158.17,-100.96,-189.06,-232.46,-216.27,-110.9,-204.86,-392.23,-67.99,-170.71,-22.82,-156.77,-178.69,-39.49,-240.1,-118.32,-74.19,-59.42,-157.67,-66.95,-167.27,-214.28,-107.89,-81.4,-133.87,-140.08,-258.28,-70.37,-169.9,-96.8,-149.55,-295.64,-188.7,-52.44,-11.94,-175.13,-44.5,-81.78,-48.48,-55.74,-225.42,-106.03,-122.31,-151.18,-146.07,-110.57,-110.24,-67.68,-209.96,-238.55,-234.91,-228.48,-138.76,-125.12,-150.4,-39.05,-139.76,-261.79,-104.87,-27.83,-104.08,-188.9,-121.31,-124.64,-47.98,-26.46,-131.32,-159.2,-157.72,-113.76,-136.58,-22.32,-180.83,-33.37,-75.44,-208.46,-225.38,-54.25,-88.25,-76.73,-202.96,-82.95,-70.79,-70.84,-65.82,-99.31,15.82,-128.39,-165.34,-59.39,-177.11,-149.29,-44.03,-73.4,-154.29,-186.6,33.86,-179.17,-132.39,-23.74,-92.61,-118.68,-24.9,-109.45,-20.98,-31.05,-96.89,-54.31,-147.25,-85.38,-83.17,-91.15,-273.66,-251.97,-48.53,-185.69,-132.78,-562.12,60.49,-133.69,-83.17,-39.56,-46.24,-56.74,-93.28,-390.7,57.01,-44.12,-34.97,-137.48,-101.1,-74.24,-64.25,-29.53,-111.03,-277.04,-42.66,-23.46,68.75,-1.55,235.15,11.32,-5.18,-159.79,-9.39,-310.73,19.91,-455.8,6.27,1.54,-37.69,-139.69,-279.65,13.59,-199.82,10.83,-29.72,-221.11,-182.56,-210.02,-284.38,-231.7,-43.03,-121.61,-0.67,-10.51,-77.2,-84.6,-42.14,-258.46,-59.32,-68.33,-161.61,-2.36,-302.18,-167.75,-236.28,-208.91,-245.14,-282.65,234.69,-42.16,-85.67,-34.76,-219.04,-243.15,-255.28,-478.07,-214.4,-279.67,-146.23,-237.89,-63.26,-84.87,85.02,83.5,-75.38,-60.91,233.25,-35.21,-33.35,-73.57,-512.19,-383.97,-145.57,270.25,-307.8,-181.63,-40.93,95.08,-110.4,74.12,-39.89,-2.17,-75.53,-73.62,-10.91,-138.35,200.06,-204.41,47.75,-182.46,-213.07,10.44,-87.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,179,283,363,477,562,674,746,875,1020,1117,1201,1318,1461,1545,1652,1725,1822,1900,1962,2037,2104,2175,2257,2368,2440,2542,2615,2707,2818,2904,3015,3116,3242,3333,3410,3509,3602,3685,3795,3889,4004,4122,4200,4332,4456,4561,4688,4770,4934,5020,5143,5224,5354,5446,5556,5679,5815,5930,6018,6136,6221,6331,6435,6593,6711,6797,6920,7063,7172,7288,7416,7584,7698,7831,7914,8023,8117,8208,8314,8453,8618,8752,8881,9046,9276,9364,9441,9561,9670,9762,9906,10041,10127,10294,10395,10484,10575,10733,10837,10986,11163,11302,11431,11544,11686,11785,11893,12133,12229,12349,12469,12593,12775,12891,13002,13075,13282,13339,13451,13561,14001,14075,14220,14407,14522,14734,14859,15007,15170,15285,15578,15864,16198,16514,16798,17038,17241,17569,18069,18541,18956,19300,19650,19997,20355,20663,21163,21477,21977,22375,22770,23086,23505,24005,24207,24347,24595,25095,25323,25823,26263,26763,27263,27512,28012,28387,28887,29004,29117,29617,30117,30323,30609,30837,31162,31662,32162,32348,32445,32678,32951,33273,33487,33635,34135,34635,34863,35356,35626,35834,36296,36534,36642,37142,37395,37459,37579,37919,38266,38374,38851,38941,39106,39413,39736,40073,40280,40487,40593,40688,40821,41110,41274,41380,41880,42380,42635,42736,43185,43563,43680,43953,44024,44131,44526,44917,45170,45360,45469,45969,46188,46688,46929,47429,47556,47755,48037,48250,48594,48899,49022,49222,49349,49693,50033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-337.12,-97.06,-142.78,-231.19,-97.64,-273.89,-68.3,-337.09,-125.54,-201.35,-179.27,-258.18,-394.74,-370.26,-87.11,-117.18,-62.39,-362.68,-102.97,-102.1,-84.65,-276.07,-324.17,6.27,-141.98,-190.65,-348.8,-96.31,-129.2,-74.51,-161.65,-147.97,-110.97,-64,-212.81,-139.47,-87.35,-68.1,-138.79,-92.98,-101.19,-85.23,-147.97,-133.65,-97.37,-155.18,-277.78,-89.4,-219.28,-297.96,-86.21,-157.53,-90.85,-428.84,-163.92,-188.51,-161.27,-214.97,-76.98,-177.79,-309.25,-506.05,-425.94,-118.92,-128.62,-514.89,-235.44,-129.94,-360.42,-69.89,-106.38,-296.91,8.73,-52.8,-93.04,-215.39,-67.34,-86.79,-107.38,-131.11,-243.17,-81.8,-163.08,-172.59,-144.48,-145.14,-114.16,-367.77,-177.79,-184.59,-65.65,-251.3,-123.19,-383.64,-90.48,-106.92,-419.24,-245.94,-38.28,-71.27,-77.43,-114.29,-264,-245.66,-79.12,-75.98,-152,-287.58,-170.35,-132.82,-114.29,-33.93,-69.94,-3.25,-350.8,-239.13,-168.6,-205.51,-163.55,-230.49,-77.49,-43.56,-167.66,-361.51,-224.17,-320.77,4.89,-95.12,-361.72,-117.04,-40.23,-349.51,-483.36,-196,-80.39,-107.73,-176.59,-125.91,-234.97,-136.61,28.34,-223.04,-157.44,-372.69,-251.23,37.55,-36.45,-182.33,-72.89,-227.64,-237.02,-293.47,-65.62,-37.4,-203.13,-209.04,-32.57,-219.25,-220.29,-272.37,-4.96,-271.44,-261.43,-120.29,-226.42,-64.32,-272.89,-64.03,-213.85,-20.1,-326.54,-249.61,-258.5,-276.26,-65.58,-283.35,-9.39,-231.59,-282.98,-70.13,-68.38,-71.11,-22.99,238.56,0.47,-54.91,-194.09,-247,-286,5.25,-47.81,-215.42,-198.55,-99.31,-189.66,-30.19,-246.3,-105.56,-50.4,-132.25,-232.18,-224.02,-247.86,-229.04,-14.16,-102.15,-191.8,-145.37,-119.89,-309.42,-202.1,-144.51,-291.35,-93.96,-102.32,-236.99,-243.85,-252.95,-277.66,4.89,-9.7,-127.31,-313.35,-98.53,-111.72,-134.78,-144.05,-62.9,-180.47,-24.51,17.48,-259.91,-50.68,-50.69,-62.22,-38.27,-253.55,-258.6,-50.85,-58.85,-81.78,-259.89,-23.89,-13.2,-240.93,-160.81,11.48,31.92,-59.43,-54.58,-52.01,-310.9,-267.26,-183.73,-13.49,-109.96,-228.94,-13.31,-165.16,-260.39,-38.46,-81.72,50.81,31.09,-75.77,-270.94,-48.93,-172.57,-238.32,-234.77,-178.69,-160.82,-36.28,-77.72,-123.58,-242.89,-279.77,-374.61,-200.42,-25.78,12.38,-243.38,-33.5,-78.03,-59.07,5.45,-87.59,-29.65,43.77,-65.25,-164.92,2.26,-61.04,-53.66,-251.98,-126.26,-110.98,-18.64,-204.19,-115.64,-221.8,-53.66,-300.15,-61.37,-324.33,-532.99,20.31,-74.61,-53.29,164,-358.57,8.07,-349.41,-150.08,-244.56,9.21,-18.96,-198.87,-59.36,-220.88,-183.47,-199.23,-279.18,-231.31,-167.92,-247.28,-84.8,-24.79,-20.37,-36.16,-272.4,15.59,-20.74,-111.91,-36.48,-262.57,-61.93,-42.79,-184.83,-43.03,-176.76,-134.18,-90.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,177,247,345,417,515,588,675,786,932,995,1111,1204,1293,1378,1474,1577,1674,1762,1889,1992,2096,2176,2251,2336,2431,2519,2588,2663,2762,2897,2985,3077,3157,3260,3318,3407,3525,3605,3693,3795,3868,3976,4112,4214,4296,4398,4491,4562,4648,4723,4854,4943,5034,5134,5229,5327,5446,5567,5664,5755,5909,6024,6123,6206,6356,6467,6570,6711,6825,7009,7111,7272,7456,7608,7751,7952,8071,8192,8298,8390,8496,8600,8698,8763,8884,9054,9268,9386,9572,9680,9807,9943,10129,10294,10413,10619,10730,10846,11013,11137,11272,11408,11544,11736,11841,11976,12089,12171,12305,12388,12498,12672,12856,12947,13068,13189,13360,13466,13567,13891,14007,14146,14311,14523,14658,14840,14964,15167,15285,15424,15707,15963,16097,16282,16403,16601,16782,16917,17085,17357,17551,17793,18096,18358,18473,18689,19054,19191,19341,19497,19704,19944,20090,20337,20461,20595,20756,20943,21193,21312,21507,21710,21824,21954,22069,22200,22401,22579,22749,22839,22990,23128,23218,23373,23464,23638,23771,24023,24169,24273,24435,24549,24801,24961,25068,25303,25432,25622,25788,25892,26062,26205,26309,26534,26645,26806,26912,27028,27175,27359,27535,27663,27803,27932,28090,28194,28291,28391,28513,28656,28738,28817,28908,28993,29226,29376,29528,29616,29783,29888,29968,30117,30200,30284,30370,30609,30707,30805,30918,31089,31247,31364,31617,31794,31998,32124,32239,32397,32588,32731,32925,33175,33343,33525,33691,33926,34108,34263,34447,34617,34708,34814,35016,35245,35409,35600,35762,35985,36089,36263,36482,36618,36759,36931,37172,37409,37575,37746,37955,38088,38262,38421,38581,38750,38933,39096,39164,39273,39445,39645,39770,39945,40091,40253,40455,40608,40812,40995,41208,41309,41517,41684,41881,42100,42260,42406,42605,42749,42917,43118,43344,43556,43705,43934,44080,44188,44341,44558,45003,45147,45319,45495,45618,45804,45966,46176,46271,46416,46553,46644,46805,46912,47064,47255,47445,47603,47777,47932,48083,48266,48460,48614,48753,48907,49025,49167,49340,49434,49600,49744,49847,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-119.01,-236.09,-121.16,-163.57,-188.15,-275.42,-351.78,-269.38,-64.53,-329.89,-128.68,-154.27,-73.83,-127.03,-101.62,-106.18,-104.85,-167.26,-115.02,-110.1,-221.52,-238.77,-167.02,-368.93,-104.34,-210.26,-98.66,-78.88,-66.86,-174.15,-64.47,-218.77,-62.54,-119.9,-50.05,25.51,-147.43,-154.48,-152.95,-111.9,-111.98,-152.16,-120.03,-84.65,-76.11,-362.04,-441.43,-112.95,-294.75,-54.25,-94.54,-170.27,-95.96,-68.74,-139.43,-161.13,-62.16,-156.29,-94.58,-74.12,-114.4,-267.37,-8.53,-93.52,-104.64,-24.36,-72.46,-8.28,-145.68,-168.99,-237.62,-97.83,-200.91,-131.35,-178.63,-99.29,-145.95,-110.61,-95.65,-76.24,-209,-236.64,-201.17,-278.39,-225.14,-378.57,-89.04,-320.58,-455.56,-68.98,-228.61,-220.2,-260.68,-263.83,-274.08,-507.41,-274.3,-327.99,-92.78,-252.36,-292.01,-195.86,-210.23,-486.26,-407.43,-338.47,-264.66,-241.42,-68.35,-355.53,-157.22,-196.44,-289.83,-174.99,-237.89,-29.31,-414.48,-38.01,-149.7,-288.65,-186.65,-73.54,-55.59,-434.35,-646.71,-345.76,-97.12,-188.48,-35.15,-278.71,-482.23,-186.15,-212.84,-47.39,-399.47,-136.81,-137.98,-245.58,-291.85,-57.07,-112.44,-200.01,-157.15,-408.67,-53.38,-412.31,-103.1,-191.4,-120.53,-300.26,-99.75,-1.47,-228.77,-9.06,-362.32,-243.71,-175.03,-223.22,-147.12,-290.75,-100.95,-129.34,-587.88,-47.71,-17.47,-304.49,-108.89,-196.82,-159.19,-182.43,-129.73,-389.57,-165.23,-214.91,-152.06,-357.91,-93.42,-315.76,-144.77,-149.05,-231.81,-121.08,-144.26,-259.83,-18.96,-172.59,-233.33,-172.43,-355.19,-337.77,-496.08,-85.04,-214.19,-24.62,43.22,-428.64,-254.4,-320.66,-346.25,-411.61,-311.89,-289.92,-324.82,-171.26,-347.3,-412.45,-36.72,-369.48,-258.06,-122.35,-315.7,-217.35,-111.92,-154.16,-201.76,-256.57,-42.15,-104.29,-194.64,-21.15,-183.36,-232.74,-181.57,-45.4,-25.82,-31.38,-25.37,-110.48,-43.97,-25.25,-106.07,-167.68,-35.43,-40.8,-71.31,-156.13,-366.81,-215.66,-25.46,-227.67,-53.91,-407.69,-27.18,-267.78,-9.06,-209.49,-290.48,-104.45,-181.26,-56.28,-36.22,-423.75,-93.49,-211.3,-201.13,-41.24,-211.77,31.9,-51.1,-170.22,-59.82,-8.1,-142.74,-53.71,-113.29,-228,-170.27,-40.32,-171.78,-512.95,-209.85,-50.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,197,286,361,481,566,663,740,807,901,1003,1078,1134,1199,1268,1338,1429,1531,1619,1703,1776,1871,1956,2043,2139,2217,2335,2420,2495,2589,2694,2772,2836,2911,2994,3152,3244,3320,3444,3544,3635,3745,3847,3938,4071,4161,4301,4452,4561,4623,4706,4813,4935,5030,5131,5240,5318,5409,5527,5609,5686,5778,5957,6066,6171,6284,6358,6480,6580,6669,6784,6862,6970,7034,7133,7226,7316,7402,7563,7670,7770,7852,7956,8078,8201,8304,8372,8470,8576,8653,8743,8847,8969,9070,9171,9296,9401,9493,9562,9673,9761,9862,9969,10070,10158,10248,10353,10461,10572,10670,10784,10893,11084,11285,11393,11528,11659,11810,11919,12079,12193,12275,12385,12495,12639,12773,12890,13019,13119,13232,13341,13457,13540,13631,13766,13906,13985,14119,14224,14393,14567,14729,14948,15168,15274,15385,15538,15647,15769,15891,15983,16110,16251,16447,16701,16802,16922,17026,17142,17324,17430,17555,17832,18005,18369,18489,18600,18736,18955,19197,19396,19552,19621,19827,19946,20312,20547,20782,21080,21342,21567,21683,21929,22281,22392,22892,23265,23379,23782,24043,24261,24439,24558,24721,24889,25028,25334,25820,26103,26565,27053,27172,27439,27612,27900,28134,28634,28866,28983,29144,29394,29575,29680,29799,30084,30326,30826,31075,31171,31671,31857,32184,32300,32800,33300,33800,34300,34800,35300,35800,36102,36404,36904,37404,37904,38256,38729,38832,39332,39441,39941,40297,40797,40912,41412,41523,41891,42011,42332,42832,43332,43748,44248,44649,44808,44977,45116,45616,46116,46616,46824,46985,47206,47706,48206,48335,48505,49005,49258,49674,49786,50101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-375.92,-239.11,-294.02,-167.47,-321.58,-47.69,-92.68,-421.44,-119.91,-84.8,-162.66,-220.04,-116.77,-137.15,-328.19,-191.58,-54.26,-44.24,-122.4,-203.16,-56.11,-253.52,-195.05,-84.17,-441.6,-319.01,-78.85,-133.17,-68.17,-201.54,-109.46,-409.35,-65.6,-59.29,-188.93,-65.18,-95.18,-143.8,-80.21,-113.94,-80.1,-235.56,-206.41,-5.31,-146.57,-45.59,-187.08,-89.18,-207.7,-88.06,-146.93,-37.03,-100.03,-198.97,-123.4,-111.33,-76.28,-4.14,-146.48,-124.48,-83.57,-147.98,-279.25,-75.88,-8.68,-355.55,-218.99,-98.71,-99.72,-189.65,-237.96,-141.15,22.31,-318.83,-126.41,11.88,-148.19,-70.33,-232.73,-4.14,-124.08,-356.9,-98.97,-42.72,-157.06,-89.01,-181.11,-100.65,-218.3,-143.63,-176.32,-96.09,-48.27,-72.29,-29.56,-91.63,-193.19,-73.99,-162.12,-88.15,114.41,-72.95,-260.62,-82.16,22.78,-71.22,-69.86,-126.91,-78.62,-236.42,-148.54,-15.12,-40.13,92.05,-49.97,-126.9,-152.78,-40.03,-69.39,-46.92,-12.64,-101.61,-226.87,-111.15,-225.77,-25.4,-9.91,38,-232.66,-65.58,-65.1,-42.06,-110.29,-91.37,-21.7,-176.66,-4.83,-241.56,-110.82,-103.16,-60.17,-83.37,-50.64,-185.38,-115.81,-132.1,-41.89,-23.24,-193.2,-35.18,-281.17,-30.27,-188.1,-211.89,-405.22,-104.74,-282.4,-18.3,-126.94,-255.51,-178.18,-245.78,-290.77,-320.69,-229.78,-377.14,-51.56,-295.01,-203.86,-333,-213.44,-195.8,17.32,-50.54,32.45,-146.77,-168.19,-55.23,-182.07,-389.49,-177.11,-199.28,-11.84,-346.73,-229.09,26.4,-163.58,-13.96,-410.95,-281.6,-540.49,-24.93,-270.84,-170.16,-230.88,-216.9,117.36,-196.28,-57.9,-191.04,-150.11,-118.46,-29.43,65.58,-228.89,140.18,-183.29,-314.03,-44.34,15.33,-121.68,-247.34,-61.35,-204.98,144.2,76.92,-189.33,111.66,-290.69,-76.44,-206.95,-286.62,-256.76,-173.09,-25.26,-101.74,-199.94,-296.66,-119.14,-234.49,-248.17,-222.16,-37.71,-324.82,-306.71,-8.99,-29.6,-274.49,-147.29,212.96,-258.31,-168.55,-241.92,-94.8,-260.77,-232.45,-195.88,-203.59,-119.23,-117.31,-122.93,-374.64,219.77,-209.75,-180.83,-220.03,-176.52,-210.7,-293.45,-90.14,-229.72,-189.03,55.82,-345.23,-365.84,-300.55,-44.05,-11.83,-279,-318.75,-3.28,-247.65,-229.07,-320.68,-254.61,-300.68,-13.79,-39.44,-83.52,-269.7,-153.32,-69.53,-212.73,-239.2,-171.2,-267.4,-215.19,-42.67,-70.77,-219.26,-36.98,37.84,-212.33,-41.07,-178.88,-136.79,-184.48,-103.64,-104.06,-88.43,202.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,175,275,402,503,567,641,721,797,906,1006,1160,1252,1339,1461,1542,1613,1675,1776,1882,1947,2023,2117,2198,2291,2379,2498,2622,2690,2782,2857,2985,3098,3218,3335,3446,3554,3673,3795,3875,3933,4068,4185,4315,4459,4558,4630,4726,4831,4923,5038,5115,5259,5405,5496,5600,5746,5891,6002,6078,6180,6276,6408,6522,6642,6761,6950,7071,7177,7291,7385,7536,7692,7817,7932,8078,8173,8254,8403,8560,8644,8795,8931,9022,9223,9332,9404,9488,9647,9759,9887,9994,10092,10180,10286,10365,10476,10609,10770,10910,11410,11533,11656,11795,12013,12153,12317,12427,12587,12718,12885,13040,13185,13685,13840,14048,14182,14325,14573,14759,15259,15389,15510,15633,15839,16005,16120,16341,16538,16765,16920,17096,17378,17638,17936,18069,18320,18622,18861,18988,19257,19379,19612,19724,19980,20156,20535,20732,20990,21189,21455,21769,21908,22272,22540,22681,22874,23087,23267,23437,23646,23843,23982,24206,24541,24645,24816,24995,25208,25411,25665,25903,26129,26356,26856,27106,27285,27481,27691,27798,28015,28294,28491,28580,28675,29175,29274,29513,29597,29736,29829,30106,30198,30353,30506,30752,31252,31462,31667,31827,32015,32171,32381,32881,32979,33376,33607,33820,34111,34611,34857,34979,35193,35416,35916,36122,36355,36855,36982,37221,37348,37544,37702,37857,38010,38123,38385,38547,38706,38780,38919,39019,39182,39309,39443,39633,39743,39850,40013,40443,40563,40728,40838,40944,41121,41372,41489,41611,41708,41811,41923,42085,42486,42607,42733,42862,42967,43093,43309,43557,43693,43850,44041,44116,44202,44290,44465,44574,44696,44868,45091,45217,45390,45482,45665,45762,45860,46022,46178,46338,46659,46820,46918,47150,47381,47545,47663,47797,47893,48067,48180,48680,48856,48951,49134,49375,49459,49577,49668,49763,50203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
